temperature,feels_like,humidity,wind_speed,weather_condition,time_of_day,season,mood,occasion,recommended_top,recommended_bottom,recommended_outer,accessories
30.5,31.7,60,7.0,clear,afternoon,summer,bad,casual,shirt,skirt,none,sunglasses
35.5,35.0,31,14.6,cloudy,morning,summer,good,casual,t-shirt,shorts,none,none
38.4,39.0,30,9.8,rain,afternoon,summer,good,party,tank top,skirt,none,none
38.3,36.9,57,18.3,rain,evening,summer,good,formal,tank top,pants,none,none
28.8,27.7,58,20.1,cloudy,afternoon,summer,neutral,work,t-shirt,cotton pants,none,none
36.5,37.3,64,16.7,clear,morning,summer,good,casual,t-shirt,skirt,none,sunglasses
36.7,35.9,40,12.4,cloudy,night,summer,neutral,party,tank top,pants,none,none
37.9,36.7,85,24.3,cloudy,night,summer,neutral,casual,t-shirt,pants,none,none
29.3,27.9,51,5.5,clear,morning,summer,neutral,work,tank top,cotton pants,none,sunglasses
35.8,35.2,52,22.5,clear,night,summer,good,casual,shirt,skirt,none,sunglasses
28.5,29.3,30,10.0,cloudy,afternoon,summer,good,casual,shirt,shorts,none,none
37.4,38.5,35,9.3,rain,morning,summer,neutral,casual,t-shirt,shorts,none,none
30.2,31.2,50,19.2,cloudy,morning,summer,good,formal,shirt,pants,none,none
28.7,30.0,71,16.3,cloudy,afternoon,summer,good,formal,t-shirt,cotton pants,none,none
38.8,38.0,31,15.7,cloudy,night,summer,neutral,work,tank top,shorts,none,none
36.9,36.6,44,12.3,rain,night,summer,good,work,kurta,shorts,none,none
33.9,34.1,31,8.2,clear,night,summer,good,formal,t-shirt,shorts,none,sunglasses
29.0,27.7,37,7.1,cloudy,evening,summer,good,party,shirt,pants,none,none
36.5,38.0,55,21.4,clear,morning,summer,good,casual,t-shirt,pants,none,sunglasses
33.1,34.5,65,6.6,clear,afternoon,summer,neutral,formal,t-shirt,shorts,none,sunglasses
36.0,36.3,68,7.5,rain,evening,summer,neutral,casual,t-shirt,pants,none,none
33.3,32.1,81,17.3,cloudy,afternoon,summer,bad,party,tank top,cotton pants,none,none
30.4,29.3,81,14.8,clear,evening,summer,neutral,work,kurta,pants,none,sunglasses
34.1,35.0,80,21.0,clear,evening,summer,bad,party,kurta,pants,none,sunglasses
28.9,29.6,64,18.5,clear,afternoon,summer,neutral,casual,t-shirt,shorts,none,sunglasses
35.4,36.6,43,9.3,cloudy,afternoon,summer,bad,casual,tank top,skirt,none,none
38.6,39.4,76,6.5,clear,evening,summer,good,work,shirt,skirt,none,sunglasses
31.9,33.3,31,7.7,rain,afternoon,summer,neutral,formal,t-shirt,pants,none,none
35.1,35.1,84,8.2,rain,morning,summer,bad,formal,tank top,cotton pants,none,none
35.7,35.1,33,22.7,rain,afternoon,summer,neutral,work,tank top,cotton pants,none,none
30.9,31.7,56,18.8,rain,night,summer,bad,work,tank top,pants,none,none
39.5,39.5,67,21.6,cloudy,afternoon,summer,bad,casual,tank top,pants,none,none
31.7,32.8,34,14.8,rain,night,summer,neutral,casual,shirt,skirt,none,none
29.5,31.0,54,19.2,rain,evening,summer,bad,formal,tank top,pants,none,none
29.8,28.7,45,19.6,cloudy,evening,summer,good,casual,kurta,shorts,none,none
31.4,32.9,84,6.1,cloudy,morning,summer,good,formal,shirt,skirt,none,none
35.3,34.0,62,12.9,cloudy,evening,summer,neutral,casual,shirt,shorts,none,none
31.4,31.2,37,15.0,cloudy,evening,summer,neutral,formal,t-shirt,shorts,none,none
31.6,31.7,36,17.1,cloudy,night,summer,good,work,tank top,pants,none,none
33.5,32.0,57,14.4,rain,evening,summer,good,formal,t-shirt,pants,none,none
38.2,37.9,31,7.1,clear,night,summer,bad,casual,shirt,cotton pants,none,sunglasses
36.2,35.9,56,10.8,rain,night,summer,good,work,tank top,skirt,none,none
36.3,35.5,35,10.4,rain,night,summer,bad,party,tank top,pants,none,none
37.6,37.6,34,20.5,rain,evening,summer,neutral,party,t-shirt,cotton pants,none,none
39.0,37.5,61,8.7,clear,evening,summer,good,party,tank top,skirt,none,sunglasses
38.4,37.2,46,16.8,cloudy,evening,summer,bad,work,tank top,skirt,none,none
37.0,37.1,84,17.6,clear,night,summer,good,casual,shirt,pants,none,sunglasses
30.7,29.4,56,6.6,rain,night,summer,good,party,t-shirt,pants,none,none
35.5,36.9,55,5.5,rain,night,summer,good,casual,shirt,cotton pants,none,none
32.3,32.2,81,16.1,clear,evening,summer,good,formal,kurta,pants,none,sunglasses
36.7,35.4,79,6.0,rain,afternoon,summer,bad,casual,tank top,skirt,none,none
30.0,29.3,59,19.5,cloudy,morning,summer,neutral,formal,tank top,cotton pants,none,none
33.8,35.3,33,8.4,cloudy,night,summer,good,work,t-shirt,shorts,none,none
35.5,36.7,37,14.3,cloudy,night,summer,good,work,tank top,cotton pants,none,none
38.4,37.8,82,14.6,cloudy,evening,summer,good,casual,kurta,cotton pants,none,none
34.6,35.2,56,15.0,rain,afternoon,summer,bad,work,shirt,skirt,none,none
34.4,33.4,67,9.6,rain,night,summer,good,work,tank top,pants,none,none
37.3,38.1,33,14.2,clear,morning,summer,neutral,casual,shirt,skirt,none,sunglasses
28.2,29.6,88,14.6,rain,afternoon,summer,bad,casual,tank top,skirt,none,none
34.9,36.2,35,18.5,rain,afternoon,summer,bad,casual,t-shirt,cotton pants,none,none
31.0,32.3,41,24.0,rain,morning,summer,neutral,formal,kurta,pants,none,none
38.9,39.9,36,19.7,cloudy,morning,summer,neutral,party,t-shirt,shorts,none,none
32.4,32.9,44,19.5,rain,night,summer,neutral,casual,tank top,skirt,none,none
36.7,35.8,77,19.7,rain,afternoon,summer,neutral,formal,kurta,pants,none,none
29.4,28.8,69,17.3,cloudy,morning,summer,neutral,work,shirt,cotton pants,none,none
37.2,36.1,38,21.9,cloudy,night,summer,bad,party,t-shirt,cotton pants,none,none
39.4,39.7,40,7.7,rain,night,summer,neutral,casual,shirt,skirt,none,none
34.1,32.7,57,21.3,clear,evening,summer,bad,work,kurta,skirt,none,sunglasses
34.5,33.9,78,19.2,cloudy,night,summer,good,party,t-shirt,cotton pants,none,none
36.7,35.6,38,10.2,clear,morning,summer,bad,work,kurta,cotton pants,none,sunglasses
31.7,31.8,33,20.3,rain,night,summer,good,work,kurta,shorts,none,none
34.2,35.5,71,7.1,rain,afternoon,summer,neutral,casual,tank top,pants,none,none
39.3,39.4,40,20.1,rain,morning,summer,bad,work,tank top,skirt,none,none
33.1,33.4,69,13.3,rain,morning,summer,good,work,t-shirt,skirt,none,none
33.7,32.2,47,12.5,clear,afternoon,summer,neutral,work,kurta,pants,none,sunglasses
38.8,38.9,39,17.4,rain,night,summer,neutral,casual,kurta,skirt,none,none
39.0,38.1,32,24.7,clear,evening,summer,neutral,work,t-shirt,pants,none,sunglasses
36.3,37.7,48,17.8,cloudy,night,summer,neutral,party,shirt,cotton pants,none,none
36.1,36.8,32,9.0,rain,night,summer,good,casual,shirt,cotton pants,none,none
35.3,35.3,59,12.5,rain,morning,summer,bad,casual,t-shirt,shorts,none,none
38.0,37.4,84,7.8,rain,night,summer,neutral,work,kurta,cotton pants,none,none
40.0,38.7,70,22.2,rain,evening,summer,bad,party,t-shirt,pants,none,none
28.9,28.6,77,21.7,cloudy,morning,summer,good,casual,kurta,cotton pants,none,none
35.6,34.4,90,21.2,rain,afternoon,summer,neutral,work,kurta,cotton pants,none,none
34.2,33.5,90,13.0,cloudy,night,summer,neutral,party,kurta,cotton pants,none,none
34.4,34.0,41,22.9,clear,afternoon,summer,neutral,casual,shirt,pants,none,sunglasses
28.6,29.3,41,19.3,cloudy,night,summer,neutral,party,shirt,shorts,none,none
34.2,35.2,65,20.3,rain,night,summer,bad,party,shirt,pants,none,none
37.0,38.5,89,24.8,rain,night,summer,neutral,casual,kurta,cotton pants,none,none
34.3,33.4,70,23.2,rain,night,summer,good,casual,kurta,skirt,none,none
39.9,41.0,68,11.0,rain,night,summer,good,party,t-shirt,shorts,none,none
39.0,39.9,81,21.1,rain,night,summer,good,work,t-shirt,cotton pants,none,none
36.0,36.2,65,24.0,cloudy,evening,summer,neutral,casual,t-shirt,shorts,none,none
37.7,36.7,37,18.4,clear,afternoon,summer,neutral,formal,kurta,shorts,none,sunglasses
36.1,35.9,36,17.1,cloudy,evening,summer,neutral,party,kurta,cotton pants,none,none
30.0,30.3,49,16.2,cloudy,afternoon,summer,neutral,work,tank top,cotton pants,none,none
35.1,34.7,80,23.8,clear,evening,summer,neutral,formal,shirt,pants,none,sunglasses
33.5,33.1,86,5.9,cloudy,evening,summer,bad,formal,kurta,cotton pants,none,none
37.4,38.4,49,8.5,rain,morning,summer,good,party,kurta,shorts,none,none
31.8,30.5,53,24.9,clear,night,summer,bad,party,tank top,skirt,none,sunglasses
37.1,38.1,70,23.3,clear,morning,summer,neutral,formal,t-shirt,pants,none,sunglasses
35.1,34.3,39,5.4,clear,morning,summer,bad,casual,tank top,cotton pants,none,sunglasses
32.7,34.2,68,19.9,cloudy,afternoon,summer,good,formal,tank top,cotton pants,none,none
35.1,36.6,47,17.5,clear,night,summer,bad,casual,t-shirt,shorts,none,sunglasses
36.5,36.7,88,11.1,rain,night,summer,bad,party,kurta,shorts,none,none
28.8,29.5,44,21.7,rain,night,summer,good,party,t-shirt,shorts,none,none
33.2,31.9,37,12.9,rain,evening,summer,bad,formal,tank top,shorts,none,none
28.5,29.4,70,6.5,clear,morning,summer,bad,party,t-shirt,skirt,none,sunglasses
39.5,39.3,57,22.5,clear,morning,summer,good,formal,t-shirt,shorts,none,sunglasses
34.2,34.5,81,23.6,rain,afternoon,summer,neutral,formal,shirt,shorts,none,none
31.2,29.8,55,13.8,cloudy,morning,summer,neutral,casual,tank top,shorts,none,none
39.1,40.0,60,20.9,rain,night,summer,bad,party,t-shirt,skirt,none,none
30.5,29.2,55,14.3,clear,night,summer,good,party,kurta,shorts,none,sunglasses
29.8,28.5,45,5.6,rain,afternoon,summer,neutral,party,tank top,pants,none,none
32.1,32.4,31,7.0,rain,evening,summer,bad,formal,kurta,shorts,none,none
34.2,35.3,34,15.8,rain,night,summer,bad,work,kurta,cotton pants,none,none
32.3,33.5,83,22.2,clear,afternoon,summer,bad,casual,t-shirt,pants,none,sunglasses
31.5,32.7,59,6.7,clear,morning,summer,good,party,tank top,pants,none,sunglasses
38.4,38.0,46,21.8,clear,evening,summer,good,work,kurta,pants,none,sunglasses
28.9,29.2,71,20.8,clear,evening,summer,good,formal,kurta,cotton pants,none,sunglasses
30.0,29.8,72,7.4,clear,morning,summer,bad,casual,kurta,skirt,none,sunglasses
33.1,33.7,85,11.2,clear,night,summer,bad,work,t-shirt,shorts,none,sunglasses
39.6,39.6,34,22.6,cloudy,night,summer,good,party,tank top,skirt,none,none
35.7,34.4,54,20.7,rain,evening,summer,bad,casual,kurta,skirt,none,none
34.7,34.9,59,9.7,rain,afternoon,summer,good,work,tank top,shorts,none,none
29.7,28.7,85,7.9,rain,morning,summer,good,work,tank top,pants,none,none
29.1,28.5,51,20.7,clear,morning,summer,bad,formal,shirt,pants,none,sunglasses
34.2,34.6,87,6.4,rain,morning,summer,good,formal,shirt,skirt,none,none
33.8,32.3,82,13.8,cloudy,afternoon,summer,bad,formal,kurta,skirt,none,none
39.1,38.9,50,23.1,cloudy,evening,summer,good,party,tank top,cotton pants,none,none
29.1,28.7,47,14.0,rain,night,summer,neutral,party,kurta,pants,none,none
28.0,28.0,49,23.9,cloudy,evening,summer,neutral,casual,shirt,cotton pants,none,none
28.9,27.4,79,12.3,clear,morning,summer,neutral,casual,t-shirt,cotton pants,none,sunglasses
39.0,39.4,78,14.6,clear,morning,summer,good,casual,kurta,shorts,none,sunglasses
39.6,39.3,34,14.3,clear,morning,summer,bad,casual,t-shirt,skirt,none,sunglasses
39.9,40.1,45,5.1,rain,night,summer,bad,work,t-shirt,cotton pants,none,none
35.4,34.8,87,21.5,rain,night,summer,good,casual,tank top,skirt,none,none
36.0,35.8,83,9.9,rain,afternoon,summer,good,work,shirt,skirt,none,none
38.4,37.6,59,22.6,clear,evening,summer,neutral,work,kurta,cotton pants,none,sunglasses
28.4,29.6,47,24.1,rain,afternoon,summer,bad,casual,kurta,shorts,none,none
36.2,35.7,68,13.5,cloudy,evening,summer,bad,party,t-shirt,shorts,none,none
35.5,36.8,90,10.8,clear,evening,summer,neutral,formal,kurta,pants,none,sunglasses
37.6,38.8,83,23.3,rain,evening,summer,good,formal,shirt,shorts,none,none
28.4,27.7,57,12.7,cloudy,afternoon,summer,bad,party,shirt,pants,none,none
38.6,38.8,57,23.4,rain,morning,summer,good,work,kurta,skirt,none,none
37.8,39.0,64,24.3,cloudy,night,summer,neutral,party,shirt,shorts,none,none
34.6,35.9,88,8.1,rain,afternoon,summer,good,work,shirt,cotton pants,none,none
33.9,32.6,47,8.6,cloudy,afternoon,summer,bad,work,t-shirt,shorts,none,none
37.2,38.5,45,22.3,cloudy,afternoon,summer,good,work,tank top,skirt,none,none
33.2,33.3,66,11.2,clear,night,summer,neutral,work,tank top,pants,none,sunglasses
28.8,29.9,55,20.1,cloudy,night,summer,bad,formal,kurta,shorts,none,none
34.0,33.1,45,7.9,cloudy,afternoon,summer,good,formal,t-shirt,skirt,none,none
38.5,37.3,88,12.6,clear,evening,summer,neutral,casual,t-shirt,skirt,none,sunglasses
39.4,39.4,76,14.7,cloudy,night,summer,bad,party,shirt,skirt,none,none
30.8,31.6,38,15.4,cloudy,night,summer,bad,formal,tank top,shorts,none,none
34.7,34.9,87,6.3,cloudy,afternoon,summer,neutral,party,tank top,pants,none,none
35.9,36.2,53,12.0,rain,afternoon,summer,neutral,party,tank top,shorts,none,none
31.3,31.8,33,5.1,clear,morning,summer,bad,formal,shirt,pants,none,sunglasses
39.4,39.1,44,12.4,clear,night,summer,neutral,casual,kurta,shorts,none,sunglasses
40.0,38.9,81,12.3,cloudy,afternoon,summer,neutral,party,kurta,cotton pants,none,none
39.9,40.0,72,15.8,cloudy,night,summer,neutral,formal,tank top,pants,none,none
37.5,36.3,59,21.6,clear,morning,summer,bad,party,tank top,skirt,none,sunglasses
34.0,34.1,62,11.9,cloudy,morning,summer,bad,casual,tank top,cotton pants,none,none
28.7,28.5,62,8.5,cloudy,afternoon,summer,neutral,casual,kurta,skirt,none,none
35.1,36.0,44,13.3,rain,afternoon,summer,neutral,party,tank top,skirt,none,none
39.6,39.4,42,7.1,clear,afternoon,summer,neutral,casual,tank top,pants,none,sunglasses
36.5,36.1,89,17.8,clear,night,summer,good,casual,kurta,cotton pants,none,sunglasses
29.2,28.5,72,20.9,cloudy,afternoon,summer,neutral,casual,t-shirt,pants,none,none
31.8,31.5,90,24.1,rain,night,summer,bad,casual,kurta,cotton pants,none,none
37.4,36.5,52,5.6,cloudy,night,summer,bad,formal,kurta,cotton pants,none,none
30.3,31.2,49,11.3,rain,evening,summer,bad,casual,tank top,cotton pants,none,none
35.4,36.4,48,7.6,rain,evening,summer,neutral,party,t-shirt,pants,none,none
33.2,32.6,43,6.1,clear,morning,summer,neutral,party,shirt,pants,none,sunglasses
21.5,22.9,78,5.6,clear,evening,spring,good,casual,shirt,cotton pants,none,none
25.3,26.3,52,22.2,cloudy,night,spring,bad,work,kurta,pants,none,none
20.7,20.6,37,15.7,rain,night,spring,neutral,formal,kurta,pants,light jacket,umbrella
18.3,18.7,49,16.6,cloudy,evening,spring,good,casual,shirt,cotton pants,none,none
18.8,18.1,42,6.5,rain,night,spring,neutral,work,t-shirt,pants,light jacket,umbrella
18.5,18.4,42,13.5,cloudy,morning,spring,good,party,shirt,jeans,none,none
24.1,22.7,56,10.9,rain,afternoon,spring,neutral,casual,shirt,cotton pants,light jacket,umbrella
23.0,23.1,55,9.7,rain,evening,spring,good,work,t-shirt,cotton pants,light jacket,umbrella
22.7,22.1,51,11.7,clear,evening,spring,neutral,party,t-shirt,pants,none,none
24.5,24.5,54,14.7,clear,morning,spring,neutral,party,t-shirt,cotton pants,none,none
25.1,24.7,58,15.5,rain,afternoon,spring,neutral,party,shirt,jeans,light jacket,umbrella
23.8,24.5,50,12.4,clear,evening,spring,neutral,work,formal shirt,pants,none,none
23.2,22.1,72,16.9,rain,evening,spring,good,formal,t-shirt,jeans,light jacket,umbrella
24.5,23.5,78,7.1,rain,afternoon,spring,good,formal,formal shirt,pants,light jacket,umbrella
22.0,22.2,71,5.2,clear,night,spring,bad,casual,t-shirt,pants,none,none
21.6,21.7,56,20.9,clear,morning,spring,bad,party,formal shirt,cotton pants,none,none
22.6,23.4,36,9.4,rain,night,spring,good,party,t-shirt,pants,light jacket,umbrella
24.4,23.1,36,10.4,clear,afternoon,spring,good,casual,kurta,pants,none,none
